Id;Référence;Boitier;Quantité;Désignation;Fournisseur et réf.
1;U1;DIP-8_LARGE_PADS;1;OP284;
2;R2,R1;R3-LARGE_PADS;2;2.2Meg;
3;R3,R8;R3-LARGE_PADS;2;1K;
4;R6;R3-LARGE_PADS;1;15K;
5;R7,R10;R3-LARGE_PADS;2;1Meg;
6;R9;R3-LARGE_PADS;1;2.2K;
7;R5;R3-LARGE_PADS;1;33K;
8;C11;C2-LARGE_PADS;1;100p;
9;C4;C2-LARGE_PADS;1;470n;
10;C8;C2-LARGE_PADS;1;0.1u;
11;C3;C2-LARGE_PADS;1;470p;
12;C1;C2-LARGE_PADS;1;4700p;
13;C10;C2-LARGE_PADS;1;47nf;
14;C2;C2-LARGE_PADS;1;22n;
15;P3,P2,P1;SIL-2-LARGE_PADS;3;CONN_2;
16;RGAIN1;SIL-3-LARGE_PADS;1;4.7K;
17;RTREBLE1;SIL-3-LARGE_PADS;1;1Meg;
18;SW1,SW2;SIL-3-LARGE_PADS;2;SWITCH_INV;
19;RBASS1;SIL-3-LARGE_PADS;1;100K;
20;R4;R4-LARGE_PADS;1;5.6K;
21;C9,C12;C1V7-LARGE_PADS;2;22uf;
22;C7;C1V7-LARGE_PADS;1;100uf;
23;C5,C6;C1V5-LARGE_PADS;2;1uf;
