"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"C1";"C2-LARGE_PADS";1;"0.1u";;;
2;"C3";"C2-LARGE_PADS";1;"10n";;;
3;"C4";"C2-LARGE_PADS";1;"470p";;;
4;"C5";"C2-LARGE_PADS";1;"2.2n";;;
5;"C6";"C2-LARGE_PADS";1;"47n";;;
6;"C8,C10";"C1V5-LARGE_PADS";2;"47uf";;;
7;"C9,C12";"C1V5-LARGE_PADS";2;"47uF";;;
8;"C13";"C2-LARGE_PADS";1;"100n";;;
9;"R1";"R3-LARGE_PADS";1;"1Meg";;;
10;"R5,R9,R10";"R3-LARGE_PADS";3;"47K";;;
11;"R6";"R3-LARGE_PADS";1;"15K";;;
12;"R7";"R3-LARGE_PADS";1;"22K";;;
13;"R8";"R3-LARGE_PADS";1;"470";;;
14;"R11";"R3-LARGE_PADS";1;"10K";;;
15;"R4";"R3-LARGE_PADS";1;"2.2K";;;
16;"RBASS1";"SIL-3-LARGE_PADS";1;"100K LOG";;;
17;"RTREBLE1";"SIL-3-LARGE_PADS";1;"100K REVLOG";;;
18;"P1,P2,P3";"SIL-2-LARGE_PADS";3;"CONN_2";;;
19;"U1";"DIP-8_LARGE_PADS";1;"TLC2262";;;
